Date,    Ford,   GM,     Uber
2010 Q4 3, 60000, 50000, 1
2010 Q4 4, 70000, 57000, 1
2010 Q4 5, 60000, 55000, 1
2011 Q2 1, 55000, 47000, 1
2011 Q2 2, 56000, 45000, 1
2011 Q2 3, 58000, 45500, 1
2011 Q2 4, 56000, 44500, 1
2011 Q2 5, 52000, 44000, 1
2011 Q4 1, 39000, 38000, 1
2011 Q4 2, 43000, 42000, 1
2011 Q4 3, 41000, 40000, 1
2011 Q4 4, 41000, 39000, 1
2011 Q4 5, 47000, 44000, 1
2012 Q2 1, 48000, 45000, 1
2012 Q2 2, 47000, 44000, 1
2012 Q2 3, 47000, 45000, 500
2012 Q2 4, 40000, 38000, 501
2012 Q2 5, 39000, 35000, 502
2012 Q4 1, 37000, 33000, 503
2012 Q4 2, 36000, 30000, 504
2012 Q4 3, 38000, 32000, 505
2012 Q4 4, 40000, 33000, 506
2012 Q4 5, 44000, 34000, 507
2013 Q2 1, 48000, 39000, 508
2013 Q2 2, 53000, 44000, 509
2013 Q2 3, 51000, 41000, 510
2013 Q2 4, 53000, 44000, 511
2013 Q2 5, 67000, 55000, 512
2013 Q4 1, 65000, 52000, 513
2013 Q4 2, 69000, 57000, 514
2013 Q4 3, 68000, 56000, 515
2013 Q4 4, 65000, 51000, 3000
2013 Q4 5, 62000, 48000, 3000
2014 Q2 1, 60000, 50000, 3000
2014 Q2 2, 55000, 44000, 18000
2014 Q2 3, 60000, 50000, 18000
2014 Q2 4, 58000, 48000, 18000
2014 Q2 5, 56000, 47000, 18000
2014 Q4 1, 55000, 50000, 18000
2014 Q4 2, 65000, 60000, 18000
2014 Q4 3, 64000, 58000, 41000
2014 Q4 4, 62000, 55000, 41500
2014 Q4 5, 60000, 58000, 42000
2015 Q2 1, 58000, 56000, 42000
2015 Q2 2, 52000, 48000, 42500
2015 Q2 3, 59000, 48000, 52500
2015 Q2 4, 58000, 45000, 52500
2015 Q2 5, 57000, 55000, 52500
2015 Q4 1, 56000, 57000, 62500
